J_A_per_m,E_V_per_m,Rv_per_s_m2,nf_per_m2,rc_m,lc,K_lc,y_lc
1.0000000000000000e-02,7.8480596481622977e-08,1.9153223167633196e+12,2.7212412094876208e+09,5.3461014659695453e-06,8.5841228763110333e+00,6.0126394291676599e-01,1.6165853691906228e-02
1.0909090909090910e-02,1.0083970568469126e-07,2.6614579839122876e+12,3.2051455228028307e+09,4.9086826433552727e-06,8.4987608840471758e+00,6.0225647679046235e-01,1.6015438810492666e-02
1.1818181818181818e-02,1.2702525947515356e-07,3.6038029801648735e+12,3.7268693433977637e+09,4.5378636702673786e-06,8.4202116230787780e+00,6.0315658670716898e-01,1.5881972710454020e-02
1.2727272727272728e-02,1.5732810301370433e-07,4.7732714230825088e+12,4.2862322497294130e+09,4.2194785856172174e-06,8.3474668414855380e+00,6.0397936474687364e-01,1.5762463620624979e-02
1.3636363636363637e-02,1.9203797004880777e-07,6.2029088655624883e+12,4.8830736720686207e+09,3.9431171465000549e-06,8.2797268434286995e+00,6.0473654867407090e-01,1.5654616528116321e-02
1.4545454545454545e-02,2.3144360620044811e-07,7.9278818826624932e+12,5.5172496276979227e+09,3.7009567670042210e-06,8.2163466508816185e+00,6.0543743815991247e-01,1.5556636576940982e-02
1.5454545454545455e-02,2.7583287243460497e-07,9.9854689218754707e+12,6.1886301639484682e+09,3.4870050394439723e-06,8.1567984918836611e+00,6.0608951995894400e-01,1.5467096464376407e-02
1.6363636363636365e-02,3.2549283291207723e-07,1.2415052213133406e+13,6.8970973224550190e+09,3.2965937315997494e-06,8.1006450118211255e+00,6.0669890593467846e-01,1.5384844543380443e-02
1.7272727272727273e-02,3.8070983032065088e-07,1.5258110577464799e+13,7.6425434950127020e+09,3.1260319360962120e-06,8.0475197272108137e+00,6.0727064710544620e-01,1.5308939614891352e-02
1.8181818181818181e-02,4.4176955104504821e-07,1.8558213005062047e+13,8.4248700788757467e+09,2.9723628627543691e-06,7.9971124921783385e+00,6.0780896339824841e-01,1.5238603690013546e-02
1.9090909090909092e-02,5.0895708198743869e-07,2.2361012897703641e+13,9.2439863646090527e+09,2.8331898457594783e-06,7.9491585098547892e+00,6.0831741476848822e-01,1.5173187136704316e-02
2.0000000000000004e-02,5.8255696045520565e-07,2.6714242889181203e+13,1.0099808607059738e+10,2.7065496183786814e-06,7.9034298991111722e+00,6.0879903069756103e-01,1.5112142540213194e-02
2.0909090909090912e-02,6.6285321823599858e-07,3.1667710171871457e+13,1.0992259242290274e+10,2.5908185185103563e-06,7.8597291350794016e+00,6.0925640960403360e-01,1.5055004809042130e-02
2.1818181818181820e-02,7.5012942076249357e-07,3.7273292269707648e+13,1.1921266222242588e+10,2.4846420527557537e-06,7.8178838849988788e+00,6.0969179614971436e-01,1.5001375832436010e-02
2.2727272727272728e-02,8.4466870208695980e-07,4.3584933206075172e+13,1.2886762445154726e+10,2.3868813006400519e-06,7.7777428976788583e+00,6.1010714206354311e-01,1.4950912505162511e-02
